,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition,Z1_ActualVelocity,clamp_pressure,Y1_CurrentFeedback,X1_OutputPower,Y1_DCBusVoltage,M1_CURRENT_FEEDRATE,Y1_DiffAcceleration
7784,119.0,326.0,0.0189,327.0,-2050.0,0.025,4.0,0.525,-1.11e-06,0.0162,50.0,0.0
92,29.5,324.0,0.0504,326.0,-41.4,0.0,4.0,4.62,-1.51e-05,0.0741,6.0,81.2
11732,29.5,326.0,0.0777,327.0,-1930.0,0.0,4.0,0.22,0.000521,0.0163,3.0,18.8
4358,119.0,328.0,0.0274,329.0,339.0,0.0,2.5,1.02,2.71e-06,0.0173,50.0,-12.5
22162,29.5,326.0,0.0617,327.0,-780.0,-0.025,2.5,4.01,0.0004,0.0822,3.0,-25.0
366,37.2,325.0,0.0211,327.0,1420.0,-5.8,4.0,-0.0999,1.99e-06,0.0176,6.0,-12.5
7052,28.7,324.0,0.114,325.0,-316.0,-0.025,4.0,-0.89,0.00471,0.0199,20.0,-37.5
9453,27.7,323.0,0.108,324.0,-1730.0,0.0,4.0,5.83,0.0013,0.0979,12.0,25.599999999999998
2545,119.0,332.0,2.79e-19,328.0,-1160.0,0.0,4.0,-0.423,0.0,2.68e-19,50.0,0.0
24287,27.7,326.0,0.0891,327.0,205.0,0.025,2.5,4.53,0.000484,0.0772,3.0,15.42
990,27.5,324.0,0.0429,326.0,462.0,-0.025,4.0,-3.78,-1.22e-05,0.081,6.0,113.0
10877,27.5,326.0,0.101,327.0,-1310.0,0.025,4.0,3.64,0.000658,0.0668,3.0,-75.0
13160,27.5,325.0,0.0753,326.0,1690.0,0.025,3.0,-1.19,0.000116,0.0374,3.0,-11.895
15993,29.7,326.0,0.061,327.0,1280.0,0.0,4.0,3.83,2.63e-05,0.0685,3.0,12.5
3159,28.5,325.0,0.0691,326.0,-1240.0,0.0,3.0,-7.01,0.000751,0.124,6.0,6.5
16993,29.7,326.0,0.0553,327.0,2020.0,-0.025,3.0,2.59,0.000307,0.0566,3.0,56.3
23336,29.7,326.0,0.0773,327.0,1550.0,-0.025,2.5,2.05,0.000329,0.0426,3.0,-41.05
22668,30.3,325.0,0.0513,327.0,1650.0,38.0,2.5,1.15,-7.89e-06,0.0253,50.0,-12.5
18099,28.7,326.0,0.107,327.0,1490.0,0.05,3.0,-4.59,0.000551,0.0889,3.0,23.09
12289,28.5,325.0,0.0908,327.0,1040.0,-0.025,3.0,0.711,0.000592,0.0249,3.0,6.25
9222,119.0,326.0,0.0185,327.0,383.0,0.0,4.0,0.381,0.0,0.0176,50.0,-6.25
4729,29.5,324.0,0.102,325.0,242.0,0.025,2.5,-0.222,0.00131,0.0157,6.0,0.0
6644,27.7,327.0,0.028,327.0,298.0,-0.025,4.0,2.91,0.0,0.0547,50.0,50.0
24509,28.7,326.0,0.0912,327.0,-1460.0,0.025,2.5,-2.21,0.000553,0.0469,3.0,6.25
16359,29.7,325.0,0.0962,326.0,-211.0,0.0,4.0,-0.315,0.000591,0.0153,3.0,-6.25
13280,29.5,325.0,0.072,327.0,1110.0,0.025,3.0,5.14,0.000466,0.0886,3.0,-68.7
777,27.5,324.0,0.0628,326.0,-675.0,-0.025,4.0,3.09,0.000742,0.0555,6.0,2.7799999999999994
24849,28.7,326.0,0.0796,327.0,-1270.0,0.0,2.5,-1.09,0.000475,0.0478,3.0,-12.5
7444,119.0,326.0,0.0235,327.0,306.0,0.0,4.0,0.697,-1.29e-06,0.0189,20.0,31.3
22488,28.5,325.0,0.119,327.0,756.0,0.025,2.5,-1.06,0.00075,0.0431,3.0,56.3
21709,31.3,326.0,0.0197,327.0,1860.0,-2.9,2.5,-0.419,-1.54e-06,0.0227,3.0,12.5
24905,119.0,328.0,0.0212,330.0,455.0,0.025,2.5,3.55,-1.46e-06,0.0211,20.0,6.25
21995,27.5,326.0,0.0894,327.0,-1480.0,-0.025,2.5,1.39,0.000494,0.0227,3.0,12.5
17789,28.7,325.0,0.044,327.0,64.4,0.0,3.0,0.979,-2.59e-05,0.0318,3.0,6.25
2629,119.0,332.0,2.79e-19,328.0,-1160.0,0.0,4.0,0.835,0.0,2.68e-19,50.0,0.0
1392,119.0,326.0,2.78e-19,324.0,905.0,0.0,4.0,0.0898,3.18e-07,2.69e-19,50.0,0.0
10863,28.5,325.0,0.116,327.0,-1240.0,-0.025,4.0,1.69,0.000743,0.027,3.0,0.0
12203,55.5,328.0,0.037,330.0,-2060.0,-0.025,3.0,1.15,-2.72e-05,0.0285,50.0,25.0
21757,29.5,326.0,0.103,327.0,-310.0,0.0,2.5,-0.902,0.000629,0.0269,3.0,0.0
24971,27.7,326.0,0.105,327.0,739.0,0.0,2.5,1.05,0.000649,0.0224,3.0,6.25
3088,119.0,328.0,0.0214,329.0,339.0,0.0,3.0,3.88,-2.23e-07,0.0266,6.0,31.3
18118,29.7,326.0,0.0948,327.0,2050.0,-0.025,3.0,4.08,0.000586,0.0559,3.0,56.3
12266,28.5,325.0,0.064,327.0,-1490.0,0.0,3.0,7.68,1.66e-05,0.133,3.0,-31.3
7827,29.7,323.0,0.0956,324.0,-2030.0,0.025,4.0,3.04,0.00278,0.0434,15.0,51.95
21742,29.5,326.0,0.0869,327.0,-1140.0,0.0,2.5,9.01,0.000318,0.159,3.0,-36.36
11197,27.5,326.0,0.0744,327.0,-145.0,0.0,4.0,-0.382,0.00039,0.0385,3.0,43.8
12353,29.5,326.0,0.0849,327.0,2120.0,0.0,3.0,2.98,0.00053,0.0711,3.0,0.0
